row_id,foa_id,title,agency,category,concept_id,concept_label,concept_description,text_snippet,relevant_yes_no
510,62bd6214-195d-4288-8386-1e4bb1d2259c,REACHing Communities (REACH) Consortium (U01) Clinical Trials Optional,HHS-FDA,population,pop_03,Low-Income Populations,"Research that studies, serves, or is designed to benefit economically disadvantaged people: households below the poverty line, low-income families, people experiencing financial hardship, welfare and safety-net recipients, and underserved communities defined by economic status. Covers poverty, income inequality, economic mobility, and material deprivation as they affect people.","REACHing Communities (REACH) Consortium (U01) Clinical Trials Optional This purpose of this notice of funding opportunity (NOFO) is for FDA Office of Minority Health and Health Equity's (OMHHE) Health Equity Innovation Award: Racial & Ethnic Minority Acceleration Consortium for Health Equity (REACH). The consortium will consist of multiple cooperative agreement (U01) recipients that will strengthen and advance minority health and health equity focused research, outreach, and communications as well as support training and mentoring of diverse students, fellows, and/or researchers.",no
511,62bd6214-195d-4288-8386-1e4bb1d2259c,REACHing Communities (REACH) Consortium (U01) Clinical Trials Optional,HHS-FDA,population,pop_04,Children and Youth,"Research that studies, serves, or is designed to benefit infants, children, adolescents, teenagers, and young people. Covers child development, paediatric health, early childhood, adolescent behaviour, foster care, at-risk youth, and juvenile populations. Distinct from Students, which concerns people by enrolment rather than by age.","REACHing Communities (REACH) Consortium (U01) Clinical Trials Optional This purpose of this notice of funding opportunity (NOFO) is for FDA Office of Minority Health and Health Equity's (OMHHE) Health Equity Innovation Award: Racial & Ethnic Minority Acceleration Consortium for Health Equity (REACH). The consortium will consist of multiple cooperative agreement (U01) recipients that will strengthen and advance minority health and health equity focused research, outreach, and communications as well as support training and mentoring of diverse students, fellows, and/or researchers.",no
512,62bd6214-195d-4288-8386-1e4bb1d2259c,REACHing Communities (REACH) Consortium (U01) Clinical Trials Optional,HHS-FDA,population,pop_07,Indigenous Peoples,"Research that studies, serves, or is designed to benefit Native American, American Indian, Alaska Native, Native Hawaiian, First Nations, and other Indigenous peoples. Covers Indigenous health, language revitalisation, traditional ecological knowledge, and self-determination. Overlaps with Tribal Communities, which refers specifically to federally recognised tribal nations as governing entities.","REACHing Communities (REACH) Consortium (U01) Clinical Trials Optional This purpose of this notice of funding opportunity (NOFO) is for FDA Office of Minority Health and Health Equity's (OMHHE) Health Equity Innovation Award: Racial & Ethnic Minority Acceleration Consortium for Health Equity (REACH). The consortium will consist of multiple cooperative agreement (U01) recipients that will strengthen and advance minority health and health equity focused research, outreach, and communications as well as support training and mentoring of diverse students, fellows, and/or researchers.",no
513,62bd6214-195d-4288-8386-1e4bb1d2259c,REACHing Communities (REACH) Consortium (U01) Clinical Trials Optional,HHS-FDA,population,pop_08,Racial and Ethnic Minorities,"Research that studies, serves, or is designed to benefit racially and ethnically minoritised groups, including African American and Black, Hispanic and Latino, Asian American, and Pacific Islander populations. Covers racial health disparities, discrimination, structural racism, minority-serving contexts, and underrepresentation by race or ethnicity.","REACHing Communities (REACH) Consortium (U01) Clinical Trials Optional This purpose of this notice of funding opportunity (NOFO) is for FDA Office of Minority Health and Health Equity's (OMHHE) Health Equity Innovation Award: Racial & Ethnic Minority Acceleration Consortium for Health Equity (REACH). The consortium will consist of multiple cooperative agreement (U01) recipients that will strengthen and advance minority health and health equity focused research, outreach, and communications as well as support training and mentoring of diverse students, fellows, and/or researchers.",yes
514,62bd6214-195d-4288-8386-1e4bb1d2259c,REACHing Communities (REACH) Consortium (U01) Clinical Trials Optional,HHS-FDA,population,pop_09,Women and Girls,"Research that studies, serves, or is designed to benefit women and girls, including maternal and reproductive health, gender-based violence, women's participation and advancement, sex differences in disease, and gender equity in the workforce.","REACHing Communities (REACH) Consortium (U01) Clinical Trials Optional This purpose of this notice of funding opportunity (NOFO) is for FDA Office of Minority Health and Health Equity's (OMHHE) Health Equity Innovation Award: Racial & Ethnic Minority Acceleration Consortium for Health Equity (REACH). The consortium will consist of multiple cooperative agreement (U01) recipients that will strengthen and advance minority health and health equity focused research, outreach, and communications as well as support training and mentoring of diverse students, fellows, and/or researchers.",no
515,62bd6214-195d-4288-8386-1e4bb1d2259c,REACHing Communities (REACH) Consortium (U01) Clinical Trials Optional,HHS-FDA,population,pop_11,Immigrants and Refugees,"Research that studies, serves, or is designed to benefit foreign-born populations: immigrants, migrants, refugees, asylum seekers, displaced people, and undocumented residents. Covers migration, resettlement, acculturation, immigrant health, and language access.","REACHing Communities (REACH) Consortium (U01) Clinical Trials Optional This purpose of this notice of funding opportunity (NOFO) is for FDA Office of Minority Health and Health Equity's (OMHHE) Health Equity Innovation Award: Racial & Ethnic Minority Acceleration Consortium for Health Equity (REACH). The consortium will consist of multiple cooperative agreement (U01) recipients that will strengthen and advance minority health and health equity focused research, outreach, and communications as well as support training and mentoring of diverse students, fellows, and/or researchers.",no
516,62bd6214-195d-4288-8386-1e4bb1d2259c,REACHing Communities (REACH) Consortium (U01) Clinical Trials Optional,HHS-FDA,population,pop_13,LGBTQ+ Populations,"Research that studies, serves, or is designed to benefit lesbian, gay, bisexual, transgender, queer, nonbinary, and other sexual and gender minority people. Covers LGBTQ+ health disparities, minority stress, identity, discrimination, and inclusion.","REACHing Communities (REACH) Consortium (U01) Clinical Trials Optional This purpose of this notice of funding opportunity (NOFO) is for FDA Office of Minority Health and Health Equity's (OMHHE) Health Equity Innovation Award: Racial & Ethnic Minority Acceleration Consortium for Health Equity (REACH). The consortium will consist of multiple cooperative agreement (U01) recipients that will strengthen and advance minority health and health equity focused research, outreach, and communications as well as support training and mentoring of diverse students, fellows, and/or researchers.",no
517,62bd6214-195d-4288-8386-1e4bb1d2259c,REACHing Communities (REACH) Consortium (U01) Clinical Trials Optional,HHS-FDA,population,pop_14,Incarcerated Populations,"Research that studies, serves, or is designed to benefit people in prisons and jails, detained and justice-involved individuals, formerly incarcerated people, and those in reentry or on probation and parole. Covers correctional health, recidivism, and reintegration.","REACHing Communities (REACH) Consortium (U01) Clinical Trials Optional This purpose of this notice of funding opportunity (NOFO) is for FDA Office of Minority Health and Health Equity's (OMHHE) Health Equity Innovation Award: Racial & Ethnic Minority Acceleration Consortium for Health Equity (REACH). The consortium will consist of multiple cooperative agreement (U01) recipients that will strengthen and advance minority health and health equity focused research, outreach, and communications as well as support training and mentoring of diverse students, fellows, and/or researchers.",no
518,62bd6214-195d-4288-8386-1e4bb1d2259c,REACHing Communities (REACH) Consortium (U01) Clinical Trials Optional,HHS-FDA,population,pop_17,Healthcare Workers,"Research that studies, serves, or is designed to benefit clinicians and health personnel: physicians, nurses, allied health professionals, community health workers, caregivers, and health support staff. Covers workforce burnout, clinician wellbeing, occupational exposure, training, and health workforce capacity.","REACHing Communities (REACH) Consortium (U01) Clinical Trials Optional This purpose of this notice of funding opportunity (NOFO) is for FDA Office of Minority Health and Health Equity's (OMHHE) Health Equity Innovation Award: Racial & Ethnic Minority Acceleration Consortium for Health Equity (REACH). The consortium will consist of multiple cooperative agreement (U01) recipients that will strengthen and advance minority health and health equity focused research, outreach, and communications as well as support training and mentoring of diverse students, fellows, and/or researchers.",no
519,62bd6214-195d-4288-8386-1e4bb1d2259c,REACHing Communities (REACH) Consortium (U01) Clinical Trials Optional,HHS-FDA,population,pop_20,Tribal Communities,"Research that studies, serves, or is designed to benefit federally recognised tribal nations, tribal governments, reservations, and their member communities as sovereign entities. Covers tribal self-governance, tribal colleges, and government-to-government partnership. Distinct from Indigenous Peoples, which refers to Indigenous individuals and cultures more broadly.","REACHing Communities (REACH) Consortium (U01) Clinical Trials Optional This purpose of this notice of funding opportunity (NOFO) is for FDA Office of Minority Health and Health Equity's (OMHHE) Health Equity Innovation Award: Racial & Ethnic Minority Acceleration Consortium for Health Equity (REACH). The consortium will consist of multiple cooperative agreement (U01) recipients that will strengthen and advance minority health and health equity focused research, outreach, and communications as well as support training and mentoring of diverse students, fellows, and/or researchers.",no
520,60a8df39-75e7-4bc7-aaec-2b8aed228fce,Transformative Technologies for Experimental and Computational RNome Characterization and Functional Analysis,HHS-NIH11,method,method_19,Bioinformatics,"Research applying computational methods to biological data: genomics and sequence analysis, transcriptomics, proteomics, structural biology computation, phylogenetics, and computational biology pipelines.","Transformative Technologies for Experimental and Computational RNome Characterization and Functional Analysis The NIH Common Fund, in partnership with other NIH Institutes and Centers, plans to issue Notices of Funding Opportunity (NOFOs) for the RNomics program, which seeks to develop tools for studying the full set of RNA molecules (the RNome) in cells and tissues. The program will support technologies and resources that enable integrated analysis of RNA sequences, modifications, structures, locations, interactions, and functions to advance understanding of health and disease. RNomics includes four initiatives: technology enhancement centers, transformative technologies, molecular standards, and a coordinating center.",yes
521,4ced41b8-73b2-46de-877a-9dfb1f995e1c,DRL FY 2025 China Programs,DOS-DRL,population,pop_08,Racial and Ethnic Minorities,"Research that studies, serves, or is designed to benefit racially and ethnically minoritised groups, including African American and Black, Hispanic and Latino, Asian American, and Pacific Islander populations. Covers racial health disparities, discrimination, structural racism, minority-serving contexts, and underrepresentation by race or ethnicity.","As the State Departmentâs annual Human Rights Reports repeatedly document, there are widespread and credible reports of offenses ranging from genocide and grave human rights abuses to serious restrictions on freedom of expression and access to information; arbitrary arrest and detention; torture or cruel, inhuman, or degrading treatment or punishment; particularly severe violations of religious freedom; prohibitions of trade unions and systematic restrictions on workersâ freedom of association; and trafficking in persons, including forced labor. - U.S. or foreign not-for-profit organizations, including think tanks and civil society/non-governmental organizations - U.S. or foreign public and private educational institutions - U.S. or foreign For-profit organizations DRL-PRU-Solicitation@state.gov",no
522,4ced41b8-73b2-46de-877a-9dfb1f995e1c,DRL FY 2025 China Programs,DOS-DRL,population,pop_11,Immigrants and Refugees,"Research that studies, serves, or is designed to benefit foreign-born populations: immigrants, migrants, refugees, asylum seekers, displaced people, and undocumented residents. Covers migration, resettlement, acculturation, immigrant health, and language access.","As the State Departmentâs annual Human Rights Reports repeatedly document, there are widespread and credible reports of offenses ranging from genocide and grave human rights abuses to serious restrictions on freedom of expression and access to information; arbitrary arrest and detention; torture or cruel, inhuman, or degrading treatment or punishment; particularly severe violations of religious freedom; prohibitions of trade unions and systematic restrictions on workersâ freedom of association; and trafficking in persons, including forced labor. - U.S. or foreign not-for-profit organizations, including think tanks and civil society/non-governmental organizations - U.S. or foreign public and private educational institutions - U.S. or foreign For-profit organizations DRL-PRU-Solicitation@state.gov",no
523,8d5ed770-579d-475d-a124-9817b7005438,Biomechanics and Mechanobiology,NSF,method,method_02,Deep Learning,"Research that uses or develops deep neural networks: multi-layer architectures, convolutional and recurrent networks, transformers, foundation models, and representation learning. A specialisation of machine learning distinguished by learned hierarchical representations.","Multiscale mechanics approaches are encouraged but not required. Projects may include theoretical, computational, or experimental approaches, or a combination thereof. NSF does not support clinical trials; however, feasibility studies involving human volunteers or animal subjects may be supported if appropriate to the scientific objectives of the project.",no
524,8d5ed770-579d-475d-a124-9817b7005438,Biomechanics and Mechanobiology,NSF,method,method_19,Bioinformatics,"Research applying computational methods to biological data: genomics and sequence analysis, transcriptomics, proteomics, structural biology computation, phylogenetics, and computational biology pipelines.","Multiscale mechanics approaches are encouraged but not required. Projects may include theoretical, computational, or experimental approaches, or a combination thereof. NSF does not support clinical trials; however, feasibility studies involving human volunteers or animal subjects may be supported if appropriate to the scientific objectives of the project.",no
525,8d5ed770-579d-475d-a124-9817b7005438,Biomechanics and Mechanobiology,NSF,method,method_24,Systems Thinking,"Research treating the object of study as an interacting whole: systems approaches, complexity science, feedback loops, emergent behaviour, and analysis of interdependencies among components over time.","NSF does not support clinical trials; however, feasibility studies involving human volunteers or animal subjects may be supported if appropriate to the scientific objectives of the project. Proposals should address the novelty and/or potentially transformative nature of the proposed work compared to previous work in the field. Also, it is essential to address why the proposed work is important in terms of engineering science, and to state the potential impact of success in the research on society and/or industry.",no
526,02d09711-479d-4d4c-bd5a-16f8380cebc4,NIH Exploratory/Developmental Research Project Grant (Parent R21 Clinical Trial Required),HHS-NIH11,method,method_05,Randomized Controlled Trial,"Research using experimental designs with random assignment of participants to treatment and control or comparison conditions, including randomised trials, cluster-randomised designs, and controlled intervention studies where randomisation establishes causal inference.","NIH Exploratory/Developmental Research Project Grant (Parent R21 Clinical Trial Required) The NIH Exploratory/Developmental Grant supports exploratory and developmental research projects by providing support for the early and conceptual stages of these projects. These studies may involve considerable risk but may lead to a breakthrough in a particular area, or to the development of novel techniques, agents, methodologies, models, or applications that could have a major impact on a field of biomedical, behavioral, or clinical research.",no
527,02d09711-479d-4d4c-bd5a-16f8380cebc4,NIH Exploratory/Developmental Research Project Grant (Parent R21 Clinical Trial Required),HHS-NIH11,method,method_09,Community-Based Participatory Research,"Research conducted in equitable partnership with community members and organisations, who share in design, data collection, interpretation, and dissemination. Distinguished by community co-ownership of the research process, not merely recruiting community participants or conducting outreach.","NIH Exploratory/Developmental Research Project Grant (Parent R21 Clinical Trial Required) The NIH Exploratory/Developmental Grant supports exploratory and developmental research projects by providing support for the early and conceptual stages of these projects. These studies may involve considerable risk but may lead to a breakthrough in a particular area, or to the development of novel techniques, agents, methodologies, models, or applications that could have a major impact on a field of biomedical, behavioral, or clinical research.",no
528,02d09711-479d-4d4c-bd5a-16f8380cebc4,NIH Exploratory/Developmental Research Project Grant (Parent R21 Clinical Trial Required),HHS-NIH11,method,method_10,Longitudinal Study,"Research following the same individuals, cohorts, or units repeatedly over time: panel studies, cohort designs, birth cohorts, and repeated-measures follow-up used to observe change and trajectories.","NIH Exploratory/Developmental Research Project Grant (Parent R21 Clinical Trial Required) The NIH Exploratory/Developmental Grant supports exploratory and developmental research projects by providing support for the early and conceptual stages of these projects. These studies may involve considerable risk but may lead to a breakthrough in a particular area, or to the development of novel techniques, agents, methodologies, models, or applications that could have a major impact on a field of biomedical, behavioral, or clinical research.",no
529,02d09711-479d-4d4c-bd5a-16f8380cebc4,NIH Exploratory/Developmental Research Project Grant (Parent R21 Clinical Trial Required),HHS-NIH11,method,method_16,Meta-Analysis,"Research statistically synthesising results across multiple prior studies: systematic review with pooled effect sizes, evidence synthesis, and quantitative aggregation of published findings.","NIH Exploratory/Developmental Research Project Grant (Parent R21 Clinical Trial Required) The NIH Exploratory/Developmental Grant supports exploratory and developmental research projects by providing support for the early and conceptual stages of these projects. These studies may involve considerable risk but may lead to a breakthrough in a particular area, or to the development of novel techniques, agents, methodologies, models, or applications that could have a major impact on a field of biomedical, behavioral, or clinical research. This Parent Notice of Funding Opportunity requires that at least 1 clinical trial be proposed.",no
530,02d09711-479d-4d4c-bd5a-16f8380cebc4,NIH Exploratory/Developmental Research Project Grant (Parent R21 Clinical Trial Required),HHS-NIH11,method,method_20,Clinical Trial,"Research testing medical or health interventions in human participants to assess safety, efficacy, or effectiveness: phased clinical studies, pragmatic trials, and clinical intervention protocols in patient populations.","These studies may involve considerable risk but may lead to a breakthrough in a particular area, or to the development of novel techniques, agents, methodologies, models, or applications that could have a major impact on a field of biomedical, behavioral, or clinical research. This Parent Notice of Funding Opportunity requires that at least 1 clinical trial be proposed. The proposed project must be related to the programmatic interests of one or more of the participating NIH Institutes and Centers (ICs) based on their scientific missions.",yes
531,02d09711-479d-4d4c-bd5a-16f8380cebc4,NIH Exploratory/Developmental Research Project Grant (Parent R21 Clinical Trial Required),HHS-NIH11,population,pop_04,Children and Youth,"Research that studies, serves, or is designed to benefit infants, children, adolescents, teenagers, and young people. Covers child development, paediatric health, early childhood, adolescent behaviour, foster care, at-risk youth, and juvenile populations. Distinct from Students, which concerns people by enrolment rather than by age.","NIH Exploratory/Developmental Research Project Grant (Parent R21 Clinical Trial Required) The NIH Exploratory/Developmental Grant supports exploratory and developmental research projects by providing support for the early and conceptual stages of these projects. These studies may involve considerable risk but may lead to a breakthrough in a particular area, or to the development of novel techniques, agents, methodologies, models, or applications that could have a major impact on a field of biomedical, behavioral, or clinical research.",no
532,02d09711-479d-4d4c-bd5a-16f8380cebc4,NIH Exploratory/Developmental Research Project Grant (Parent R21 Clinical Trial Required),HHS-NIH11,population,pop_07,Indigenous Peoples,"Research that studies, serves, or is designed to benefit Native American, American Indian, Alaska Native, Native Hawaiian, First Nations, and other Indigenous peoples. Covers Indigenous health, language revitalisation, traditional ecological knowledge, and self-determination. Overlaps with Tribal Communities, which refers specifically to federally recognised tribal nations as governing entities.",Applicants should note that some ICs (see Related Notices) only accept applications proposing mechanistic studies that meet NIH's definition of a clinical trial through this funding opportunity announcement. Other Eligible Applicants include the following: Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession. NIH Grants Information grantsinfo@nih.gov,no
533,02d09711-479d-4d4c-bd5a-16f8380cebc4,NIH Exploratory/Developmental Research Project Grant (Parent R21 Clinical Trial Required),HHS-NIH11,population,pop_08,Racial and Ethnic Minorities,"Research that studies, serves, or is designed to benefit racially and ethnically minoritised groups, including African American and Black, Hispanic and Latino, Asian American, and Pacific Islander populations. Covers racial health disparities, discrimination, structural racism, minority-serving contexts, and underrepresentation by race or ethnicity.",Applicants should note that some ICs (see Related Notices) only accept applications proposing mechanistic studies that meet NIH's definition of a clinical trial through this funding opportunity announcement. Other Eligible Applicants include the following: Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession. NIH Grants Information grantsinfo@nih.gov,no
534,02d09711-479d-4d4c-bd5a-16f8380cebc4,NIH Exploratory/Developmental Research Project Grant (Parent R21 Clinical Trial Required),HHS-NIH11,population,pop_09,Women and Girls,"Research that studies, serves, or is designed to benefit women and girls, including maternal and reproductive health, gender-based violence, women's participation and advancement, sex differences in disease, and gender equity in the workforce.","NIH Exploratory/Developmental Research Project Grant (Parent R21 Clinical Trial Required) The NIH Exploratory/Developmental Grant supports exploratory and developmental research projects by providing support for the early and conceptual stages of these projects. These studies may involve considerable risk but may lead to a breakthrough in a particular area, or to the development of novel techniques, agents, methodologies, models, or applications that could have a major impact on a field of biomedical, behavioral, or clinical research.",no
535,02d09711-479d-4d4c-bd5a-16f8380cebc4,NIH Exploratory/Developmental Research Project Grant (Parent R21 Clinical Trial Required),HHS-NIH11,population,pop_11,Immigrants and Refugees,"Research that studies, serves, or is designed to benefit foreign-born populations: immigrants, migrants, refugees, asylum seekers, displaced people, and undocumented residents. Covers migration, resettlement, acculturation, immigrant health, and language access.",Applicants should note that some ICs (see Related Notices) only accept applications proposing mechanistic studies that meet NIH's definition of a clinical trial through this funding opportunity announcement. Other Eligible Applicants include the following: Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession. NIH Grants Information grantsinfo@nih.gov,no
536,02d09711-479d-4d4c-bd5a-16f8380cebc4,NIH Exploratory/Developmental Research Project Grant (Parent R21 Clinical Trial Required),HHS-NIH11,population,pop_20,Tribal Communities,"Research that studies, serves, or is designed to benefit federally recognised tribal nations, tribal governments, reservations, and their member communities as sovereign entities. Covers tribal self-governance, tribal colleges, and government-to-government partnership. Distinct from Indigenous Peoples, which refers to Indigenous individuals and cultures more broadly.",Applicants should note that some ICs (see Related Notices) only accept applications proposing mechanistic studies that meet NIH's definition of a clinical trial through this funding opportunity announcement. Other Eligible Applicants include the following: Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession. NIH Grants Information grantsinfo@nih.gov,no
537,ee93fbec-ca82-4fe9-bdc7-d2f911861dad,Innovative Traffic Safety Enforcement (ITSE) Grant Program,DOT-NHTSA,population,pop_18,First Responders,"Research that studies, serves, or is designed to benefit emergency personnel: firefighters, police officers, emergency medical technicians and paramedics, search-and-rescue teams, and disaster response workers. Covers occupational hazard, trauma exposure, and responder health and safety.","Innovative Traffic Safety Enforcement (ITSE) Grant Program While the agency will consider innovative enhancements to existing countermeasures, the goal is to develop evidence-based projects that are scalable and transferable for use by State and local law enforcement agencies. The primary intent of this of the ITSE Grant Program is to 1) develop innovative traffic safety enforcement programs that demonstrate effectiveness by reducing the number of motor vehicle crashes due to one or more of the subject risky driving behaviors; and 2) ensure the traffic safety enforcement programs are repeatable and scalable for use by law enforcement throughout the United States.",yes
538,369c5ed8-1496-4037-b753-d2d0d176e6ec,Designing Materials to Revolutionize and Engineer our Future (DMREF),NSF,method,method_09,Community-Based Participatory Research,"Research conducted in equitable partnership with community members and organisations, who share in design, data collection, interpretation, and dissemination. Distinguished by community co-ownership of the research process, not merely recruiting community participants or conducting outreach.","DMREF reflects the Administrationâs priorities for strengthening American leadership in technologies and industries of the future that are critical to the nationâs health, economic prosperity, national security, and scientific enterprise. DMREF encourages input and participation from the full spectrum of diverse talent that society has to offer which includes underrepresented and underserved communities. Aligning with Goal 3 of the 2021 MGI Strategic Plan , DMREF promotes education, training, and workforce development that can communicate across all components of the materials development continuum.",no
539,369c5ed8-1496-4037-b753-d2d0d176e6ec,Designing Materials to Revolutionize and Engineer our Future (DMREF),NSF,method,method_16,Meta-Analysis,"Research statistically synthesising results across multiple prior studies: systematic review with pooled effect sizes, evidence synthesis, and quantitative aggregation of published findings.","Aligning with Goal 3 of the 2021 MGI Strategic Plan , DMREF promotes education, training, and workforce development that can communicate across all components of the materials development continuum. Proposals submitted to this solicitation must be directed by a team of at least two Senior/Key Personnel with complementary expertise. The proposed research must involve a collaborative and iterative âclosed-loopâ process wherein theory guides computational simulation, computational simulation guides experiments, and experimental observation further guides theory.",no
540,587aa8a7-9d74-4a90-8630-a51413cdcd07,Maximizing the Scientific Value of Data Generated by the Environmental influences on Child Health Outcomes (ECHO) Program: Dissertation Grant (R36 - Clinical Trial Not Allowed),HHS-NIH11,method,method_16,Meta-Analysis,"Research statistically synthesising results across multiple prior studies: systematic review with pooled effect sizes, evidence synthesis, and quantitative aggregation of published findings.",Maximizing the Scientific Value of Data Generated by the Environmental influences on Child Health Outcomes (ECHO) Program: Dissertation Grant (R36 - Clinical Trial Not Allowed) The goal of this NOFO is to support doctoral candidates studying high-priority areas of child health for the completion of their doctoral dissertation research project. This NOFO seeks to advance research in child health by stimulating the use of Environmental Influences on Child Health (ECHO) Cohort data by doctoral students in relevant scientific areas.,no
541,587aa8a7-9d74-4a90-8630-a51413cdcd07,Maximizing the Scientific Value of Data Generated by the Environmental influences on Child Health Outcomes (ECHO) Program: Dissertation Grant (R36 - Clinical Trial Not Allowed),HHS-NIH11,population,pop_04,Children and Youth,"Research that studies, serves, or is designed to benefit infants, children, adolescents, teenagers, and young people. Covers child development, paediatric health, early childhood, adolescent behaviour, foster care, at-risk youth, and juvenile populations. Distinct from Students, which concerns people by enrolment rather than by age.",Maximizing the Scientific Value of Data Generated by the Environmental influences on Child Health Outcomes (ECHO) Program: Dissertation Grant (R36 - Clinical Trial Not Allowed) The goal of this NOFO is to support doctoral candidates studying high-priority areas of child health for the completion of their doctoral dissertation research project. This NOFO seeks to advance research in child health by stimulating the use of Environmental Influences on Child Health (ECHO) Cohort data by doctoral students in relevant scientific areas. This RFA will provide students working on dissertations the opportunity to access the ECHO data within the NICHD Data and Specimen Hub (DASH) repository.,yes
542,b525e8d1-e8f7-4951-b043-cdc981b13708,AI Partnership & Exchange for Tech Leaders (APEX),DOS-SAU,method,method_01,Machine Learning,"Research that uses or develops machine learning: supervised and unsupervised learning, predictive modelling, classification and regression algorithms, feature learning, and artificial intelligence approaches where a system improves from data rather than following fixed rules. Applies when learning from data is a method the work uses or advances.","Target Audience and Participants The program should be designed for Saudi nationals aged 20 to 30. Participants must be undergraduate, graduate, or post-doctoral students, or recent graduates who are studying or working in AI-related fields (such as data science, robotics, or machine learning). They must also speak fluent English and show strong leadership potential.",no
543,b525e8d1-e8f7-4951-b043-cdc981b13708,AI Partnership & Exchange for Tech Leaders (APEX),DOS-SAU,method,method_02,Deep Learning,"Research that uses or develops deep neural networks: multi-layer architectures, convolutional and recurrent networks, transformers, foundation models, and representation learning. A specialisation of machine learning distinguished by learned hierarchical representations.","Target Audience and Participants The program should be designed for Saudi nationals aged 20 to 30. Participants must be undergraduate, graduate, or post-doctoral students, or recent graduates who are studying or working in AI-related fields (such as data science, robotics, or machine learning). They must also speak fluent English and show strong leadership potential.",no
544,b525e8d1-e8f7-4951-b043-cdc981b13708,AI Partnership & Exchange for Tech Leaders (APEX),DOS-SAU,method,method_24,Systems Thinking,"Research treating the object of study as an interacting whole: systems approaches, complexity science, feedback loops, emergent behaviour, and analysis of interdependencies among components over time.","AI Partnership & Exchange for Tech Leaders (APEX) Program Purpose The U.S. Embassy Riyadh Public Diplomacy Section is accepting applications for a cooperative agreement to run the AI Partnership & Exchange for Tech Leaders. The goal of this program is to connect rising Saudi Artificial Intelligence (AI) leaders with American experts in business, tech, and academia. This initiative helps participants build professional networks, study U.S. technology standards, and create lasting partnerships between American and Saudi institutions.",no
545,c013135e-e57b-4b80-8ea1-de6d49a90aee,HEAL Initiative: Studies to Enable Analgesic Discovery (R61/R33 - Clinical Trial Not Allowed),HHS-NIH11,method,method_16,Meta-Analysis,"Research statistically synthesising results across multiple prior studies: systematic review with pooled effect sizes, evidence synthesis, and quantitative aggregation of published findings.","HEAL Initiative: Studies to Enable Analgesic Discovery (R61/R33 - Clinical Trial Not Allowed) This funding opportunity is part of a suite of NOFOs within the NIH HEAL Initiative to support the development of safe, effective, and non-addictive therapeutics to treat pain. The goal is to encourage initial translational efforts that will support a drug discovery program and advance projects to the point where they meet the entry criteria for the Pain Therapeutics Development Program.",no
546,c013135e-e57b-4b80-8ea1-de6d49a90aee,HEAL Initiative: Studies to Enable Analgesic Discovery (R61/R33 - Clinical Trial Not Allowed),HHS-NIH11,population,pop_07,Indigenous Peoples,"Research that studies, serves, or is designed to benefit Native American, American Indian, Alaska Native, Native Hawaiian, First Nations, and other Indigenous peoples. Covers Indigenous health, language revitalisation, traditional ecological knowledge, and self-determination. Overlaps with Tribal Communities, which refers specifically to federally recognised tribal nations as governing entities.","The scope will therefore be focused on development of assays to support a distinct testing funnel, screening efforts to identify hits, and initial characterization of hits and potential therapeutic agents (including small molecules, biologics, and natural products). Other Eligible Applicants include the following: Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession; Non-domestic (non-U.S.) Entities (Foreign Organizations) are not eligible to apply. Non-domestic (non-U.S.) components of U.S. Organizations are not eligible to apply.",no
